Index in PPC list	Rank of PPC for ISP A	Rank of PPC for ISP B	(Rank A - Rank B)^2	Willingness (A)	Willingness (B)	Willingness (AB) = 1 - (diff^2/(1-n)^2)
132.0	340.0	161.0	32041.0	0.3352941176470588	0.6868884540117417	0.4799058846376228
141.0	254.0	279.0	625.0	0.503921568627451	0.45596868884540115	0.4793458635765794
149.0	253.0	280.0	729.0	0.5058823529411764	0.45401174168297453	0.4792457909523095
367.0	279.0	254.0	625.0	0.4549019607843137	0.5048923679060665	0.4792457909523095
376.0	161.0	341.0	32400.0	0.6862745098039216	0.33463796477495106	0.4792217704129389
492.0	342.0	158.0	33856.0	0.33137254901960783	0.6927592954990215	0.47912567621297286
465.0	251.0	282.0	961.0	0.5098039215686274	0.4500978473581213	0.47902155240945865
27.0	283.0	250.0	1089.0	0.4470588235294118	0.512720156555773	0.4787651511854634
509.0	256.0	278.0	484.0	0.5	0.45792563600782776	0.47850059352514274
51.0	282.0	252.0	900.0	0.44901960784313727	0.5088062622309197	0.47797906683772257
481.0	250.0	284.0	1156.0	0.5117647058823529	0.4461839530332681	0.47785060373875854
343.0	280.0	255.0	625.0	0.45294117647058824	0.50293542074364	0.4772841513819148
16.0	160.0	343.0	33489.0	0.6882352941176471	0.33072407045009783	0.47709116308941263
457.0	252.0	283.0	961.0	0.5078431372549019	0.4481409001956947	0.47705899078375774
8.0	158.0	344.0	34596.0	0.692156862745098	0.3287671232876712	0.4770308382364031
500.0	343.0	159.0	33856.0	0.32941176470588235	0.6908023483365949	0.4770308382364031
165.0	255.0	281.0	676.0	0.5019607843137255	0.4520547945205479	0.4763546779557373
219.0	289.0	246.0	1849.0	0.43529411764705883	0.5205479452054794	0.47601623764448275
191.0	287.0	249.0	1444.0	0.4392156862745098	0.5146771037181996	0.4754516351001079
243.0	288.0	248.0	1600.0	0.4372549019607843	0.5166340508806262	0.47529019689807517
345.0	293.0	242.0	2601.0	0.42745098039215684	0.5283757338551859	0.47524175474365105
32.0	159.0	345.0	34596.0	0.6901960784313725	0.3268101761252446	0.47493483969183603
476.0	344.0	160.0	33856.0	0.32745098039215687	0.6888454011741683	0.47493483969183603
45.0	295.0	240.0	3025.0	0.4235294117647059	0.5322896281800391	0.4748055529493584
1.0	291.0	245.0	2116.0	0.43137254901960786	0.5225048923679061	0.4747570613439672
405.0	316.0	211.0	11025.0	0.38235294117647056	0.589041095890411	0.47457517369486374
139.0	243.0	293.0	2500.0	0.5254901960784314	0.42857142857142855	0.47456304537291294
361.0	292.0	244.0	2304.0	0.4294117647058823	0.5244618395303327	0.47456304537291294
317.0	249.0	288.0	1521.0	0.5137254901960784	0.4383561643835616	0.47454687379480004
289.0	248.0	289.0	1681.0	0.515686274509804	0.436399217221135	0.4743891720178295
265.0	247.0	290.0	1849.0	0.5176470588235295	0.4344422700587084	0.47422332642385684
235.0	290.0	247.0	1849.0	0.43333333333333335	0.5185909980430529	0.4740493284655683
273.0	246.0	291.0	2025.0	0.5196078431372549	0.4324853228962818	0.47404932846556824
455.0	240.0	296.0	3136.0	0.5313725490196078	0.4227005870841487	0.47393194493617835
507.0	245.0	292.0	2209.0	0.5215686274509804	0.43052837573385516	0.47386716916263233
111.0	211.0	317.0	11236.0	0.5882352941176471	0.3816046966731898	0.4737861869918004
29.0	297.0	239.0	3364.0	0.4196078431372549	0.5342465753424658	0.4734702241777375
163.0	242.0	295.0	2809.0	0.5274509803921569	0.4246575342465753	0.47327162683735025
369.0	294.0	243.0	2601.0	0.42549019607843136	0.5264187866927593	0.47327162683735025
53.0	296.0	241.0	3025.0	0.4215686274509804	0.5303326810176126	0.47283360755026027
463.0	239.0	298.0	3481.0	0.5333333333333333	0.4187866927592955	0.4726022670332397
147.0	244.0	294.0	2500.0	0.5235294117647059	0.42661448140900193	0.47259414776566994
479.0	241.0	297.0	3136.0	0.5294117647058824	0.4207436399217221	0.4719604145473804
103.0	212.0	318.0	11236.0	0.5862745098039216	0.3796477495107632	0.47178151536763785
397.0	317.0	213.0	10816.0	0.3803921568627451	0.5851272015655578	0.47178151536763785
403.0	309.0	225.0	7056.0	0.396078431372549	0.5616438356164384	0.4716513642522628
421.0	318.0	212.0	11236.0	0.3784313725490196	0.5870841487279843	0.4713502521532198
237.0	302.0	235.0	4489.0	0.40980392156862744	0.5420743639921722	0.47132175861698955
71.0	323.0	205.0	13924.0	0.3686274509803922	0.6007827788649707	0.470600705870604
79.0	324.0	204.0	14400.0	0.36666666666666664	0.6027397260273972	0.4701112274877571
105.0	226.0	310.0	7056.0	0.5588235294117647	0.3953033268101761	0.47000510664914574
193.0	301.0	238.0	3969.0	0.4117647058823529	0.5362035225048923	0.4698826297463108
87.0	213.0	319.0	11236.0	0.5843137254901961	0.3776908023483366	0.4697764572682819
113.0	225.0	311.0	7396.0	0.5607843137254902	0.3933463796477495	0.46966209083464394
419.0	310.0	226.0	7056.0	0.3941176470588235	0.5596868884540117	0.4696620908346439
263.0	236.0	303.0	4489.0	0.5392156862745098	0.4090019569471624	0.4696171535441201
271.0	235.0	304.0	4761.0	0.5411764705882353	0.4070450097847358	0.4693433516796174
413.0	206.0	324.0	13924.0	0.5980392156862745	0.3679060665362035	0.4690652998011401
315.0	238.0	302.0	4096.0	0.5352941176470588	0.410958904109589	0.4690243959161876
429.0	205.0	325.0	14400.0	0.6	0.3659491193737769	0.4685824064391088
245.0	303.0	237.0	4356.0	0.40784313725490196	0.538160469667319	0.4684923204233885
221.0	304.0	236.0	4624.0	0.40588235294117647	0.5401174168297456	0.4682137631545738
437.0	204.0	326.0	14884.0	0.6019607843137255	0.3639921722113503	0.46809081754334925
395.0	311.0	227.0	7056.0	0.39215686274509803	0.5577299412915852	0.46767256070451235
95.0	325.0	206.0	14161.0	0.36470588235294116	0.598825831702544	0.4673278328184725
89.0	227.0	312.0	7225.0	0.5568627450980392	0.3913894324853229	0.46685136154470047
287.0	237.0	305.0	4624.0	0.5372549019607843	0.4050880626223092	0.466514252054139
123.0	328.0	203.0	15625.0	0.3588235294117647	0.6046966731898239	0.4658104705752384
385.0	203.0	329.0	15876.0	0.6039215686274509	0.35812133072407043	0.465056121140052
81.0	336.0	198.0	19044.0	0.3431372549019608	0.6144814090019569	0.459185652947934
73.0	337.0	197.0	19600.0	0.3411764705882353	0.6164383561643836	0.45860033001664746
435.0	198.0	337.0	19321.0	0.6137254901960785	0.3424657534246575	0.4584538825180972
411.0	197.0	338.0	19881.0	0.615686274509804	0.3405088062622309	0.4578718143382201
97.0	338.0	199.0	19321.0	0.3392156862745098	0.6125244618395304	0.4558266180060364
427.0	199.0	339.0	19600.0	0.611764705882353	0.3385518590998043	0.45509787794288337
125.0	341.0	196.0	21025.0	0.3333333333333333	0.6183953033268101	0.4540173650595353
383.0	196.0	342.0	21316.0	0.6176470588235294	0.33268101761252444	0.45329841391162456
201.0	189.0	347.0	24964.0	0.6313725490196078	0.32289628180039137	0.4515172737662056
283.0	346.0	190.0	24336.0	0.3235294117647059	0.6301369863013698	0.4515172737662056
255.0	345.0	192.0	23409.0	0.3254901960784314	0.6262230919765166	0.4514747800224039
475.0	351.0	180.0	29241.0	0.3137254901960784	0.649706457925636	0.4514747800224038
328.0	373.0	128.0	60025.0	0.27058823529411763	0.7514677103718199	0.4509305064308932
447.0	349.0	185.0	26896.0	0.3176470588235294	0.639921722113503	0.45085391526152024
307.0	347.0	189.0	24964.0	0.3215686274509804	0.6320939334637965	0.45084540432840653
253.0	192.0	346.0	23716.0	0.6254901960784314	0.324853228962818	0.45076879869913866
336.0	374.0	126.0	61504.0	0.26862745098039215	0.7553816046966731	0.4504622459065194
172.0	128.0	374.0	60516.0	0.7509803921568627	0.2700587084148728	0.4503429745769073
61.0	185.0	350.0	27225.0	0.6392156862745098	0.31702544031311153	0.4501640083305464
131.0	350.0	184.0	27556.0	0.3156862745098039	0.6418786692759295	0.45014696021524875
377.0	184.0	351.0	27889.0	0.6411764705882353	0.3150684931506849	0.4494602367639542
225.0	190.0	348.0	24964.0	0.6294117647058823	0.32093933463796476	0.4494474307168894
9.0	182.0	352.0	28900.0	0.6450980392156863	0.3131115459882583	0.4494303554198555
33.0	180.0	353.0	29929.0	0.6490196078431373	0.3111545988258317	0.44938339500757035
499.0	352.0	181.0	29241.0	0.31176470588235294	0.6477495107632094	0.44938339500757035
156.0	127.0	375.0	61504.0	0.7529411764705882	0.26810176125244617	0.4492937296816567
301.0	355.0	176.0	32041.0	0.3058823529411765	0.6575342465753424	0.44847310117984723
20.0	376.0	124.0	63504.0	0.2647058823529412	0.7592954990215264	0.4483190661070639
180.0	126.0	376.0	62500.0	0.7549019607843137	0.26614481409001955	0.4482334681939005
352.0	375.0	127.0	61504.0	0.26666666666666666	0.7534246575342466	0.4482334681939005
299.0	348.0	191.0	24649.0	0.3196078431372549	0.6281800391389433	0.4480750689461242
257.0	354.0	179.0	30625.0	0.307843137254902	0.6516634050880626	0.4478951965097653
223.0	176.0	356.0	32400.0	0.6568627450980392	0.30528375733855184	0.44780523319769816
472.0	124.0	377.0	64009.0	0.7588235294117647	0.26418786692759294	0.4477409626220966
209.0	191.0	349.0	24964.0	0.6274509803921569	0.31898238747553814	0.4473765882892815
17.0	181.0	354.0	29929.0	0.6470588235294118	0.30919765166340507	0.4472908100144466
491.0	353.0	182.0	29241.0	0.30980392156862746	0.6457925636007827	0.4472908100144466
251.0	179.0	355.0	30976.0	0.6509803921568628	0.30724070450097846	0.4472221755487956
493.0	360.0	167.0	37249.0	0.296078431372549	0.675146771037182	0.4470977487249632
449.0	358.0	172.0	34596.0	0.3	0.6653620352250489	0.44677579451836313
15.0	167.0	361.0	37636.0	0.6745098039215687	0.29549902152641877	0.4464493107496081
309.0	356.0	177.0	32041.0	0.30392156862745096	0.6555772994129159	0.4463676524952514
59.0	172.0	359.0	34969.0	0.6647058823529411	0.299412915851272	0.44611828747405846
36.0	377.0	125.0	63504.0	0.2627450980392157	0.7573385518590998	0.4460795804081339
133.0	359.0	171.0	35344.0	0.2980392156862745	0.6673189823874756	0.445967741124093
207.0	177.0	357.0	32400.0	0.6549019607843137	0.30332681017612523	0.44570093419556095
12.0	378.0	123.0	65025.0	0.2607843137254902	0.761252446183953	0.44555885890635466
496.0	125.0	378.0	64009.0	0.7568627450980392	0.2622309197651663	0.4455028774127586
375.0	171.0	360.0	35721.0	0.6666666666666666	0.2974559686888454	0.4453133493686181
380.0	379.0	121.0	66564.0	0.25882352941176473	0.7651663405088063	0.4450202836248854
488.0	123.0	379.0	65536.0	0.7607843137254902	0.2602739726027397	0.4449857926127332
128.0	121.0	380.0	67081.0	0.7647058823529411	0.2583170254403131	0.44445083965059823
7.0	168.0	362.0	37636.0	0.6725490196078432	0.29354207436399216	0.4443213187853533
477.0	361.0	169.0	36864.0	0.29411764705882354	0.6712328767123288	0.4443213187853533
285.0	357.0	178.0	32041.0	0.30196078431372547	0.6536203522504892	0.444260862792314
212.0	380.0	120.0	67600.0	0.2568627450980392	0.7671232876712328	0.44389795392619874
199.0	178.0	358.0	32400.0	0.6529411764705882	0.3013698630136986	0.44359530307358347
501.0	362.0	168.0	37636.0	0.29215686274509806	0.6731898238747553	0.44348283729494387
296.0	120.0	381.0	68121.0	0.7666666666666667	0.2563600782778865	0.44333139600045585
204.0	381.0	118.0	69169.0	0.2549019607843137	0.7710371819960861	0.4433270683461749
304.0	118.0	382.0	69696.0	0.7705882352941177	0.25440313111545987	0.44276411311166614
31.0	169.0	363.0	37636.0	0.6705882352941176	0.29158512720156554	0.44219176370451385
228.0	382.0	119.0	69169.0	0.2529411764705882	0.7690802348336595	0.4410578866760032
280.0	119.0	383.0	69696.0	0.7686274509803922	0.25244618395303325	0.4404963869108884
327.0	383.0	146.0	56169.0	0.25098039215686274	0.7162426614481409	0.4239845092096284
157.0	147.0	384.0	56169.0	0.7137254901960784	0.25048923679060664	0.4228244946987074
173.0	146.0	385.0	57121.0	0.7156862745098039	0.24853228962818003	0.4217477308289681
335.0	384.0	148.0	55696.0	0.24901960784313726	0.7123287671232876	0.42116959795838366
11.0	386.0	144.0	58564.0	0.24509803921568626	0.7201565557729941	0.4201296939616181
351.0	385.0	147.0	56644.0	0.24705882352941178	0.7142857142857143	0.42008402520840293
489.0	144.0	387.0	59049.0	0.7196078431372549	0.2446183953033268	0.4195584772542719
181.0	148.0	386.0	56644.0	0.711764705882353	0.2465753424657534	0.41893152914047593
497.0	143.0	388.0	60025.0	0.7215686274509804	0.24266144814090018	0.41844580063647024
388.0	400.0	102.0	88804.0	0.21764705882352942	0.8023483365949119	0.4178860557757746
19.0	387.0	145.0	58564.0	0.24313725490196078	0.7181996086105675	0.417876873384058
120.0	102.0	401.0	89401.0	0.8019607843137255	0.2172211350293542	0.4173761275128928
35.0	388.0	143.0	60025.0	0.2411764705882353	0.7221135029354208	0.4173209628116854
473.0	145.0	389.0	59536.0	0.7176470588235294	0.24070450097847357	0.41562107402390813
379.0	390.0	142.0	61504.0	0.2372549019607843	0.7240704500978473	0.4144746839683525
129.0	142.0	391.0	62001.0	0.7235294117647059	0.23679060665362034	0.4139142040852207
203.0	391.0	141.0	62500.0	0.23529411764705882	0.726027397260274	0.41331583060166815
305.0	140.0	392.0	63504.0	0.7274509803921568	0.23483365949119372	0.41331583060166804
211.0	392.0	139.0	64009.0	0.23333333333333334	0.7299412915851272	0.41269799454709777
297.0	141.0	393.0	63504.0	0.7254901960784313	0.2328767123287671	0.4110350005650343
337.0	394.0	136.0	66564.0	0.22941176470588234	0.735812133072407	0.4108575908269682
281.0	139.0	394.0	65025.0	0.7294117647058823	0.2309197651663405	0.41040905620545015
227.0	393.0	140.0	64009.0	0.23137254901960785	0.7279843444227005	0.41040905620545015
179.0	136.0	395.0	67081.0	0.7352941176470589	0.22896281800391388	0.41031087389706355
353.0	395.0	137.0	66564.0	0.22745098039215686	0.7338551859099804	0.40855364580565623
155.0	137.0	396.0	67081.0	0.7333333333333333	0.22700587084148727	0.4080085439674321
13.0	397.0	134.0	69169.0	0.2235294117647059	0.7397260273972602	0.40663315626145424
329.0	396.0	138.0	66564.0	0.22549019607843138	0.7318982387475538	0.4062460798144943
171.0	138.0	397.0	67081.0	0.7313725490196078	0.22504892367906065	0.40570260655469514
471.0	135.0	398.0	69169.0	0.7372549019607844	0.22309197651663404	0.4055559804453741
487.0	134.0	399.0	70225.0	0.7392156862745098	0.22113502935420742	0.40430988422669595
37.0	398.0	135.0	69169.0	0.22156862745098038	0.7377690802348337	0.40430988422669595
21.0	399.0	133.0	70756.0	0.2196078431372549	0.7416829745596869	0.40358319877650545
495.0	133.0	400.0	71289.0	0.7411764705882353	0.2191780821917808	0.40305041544353015
64.0	410.0	93.0	100489.0	0.1980392156862745	0.8199608610567515	0.40296948497016666
444.0	93.0	411.0	101124.0	0.8196078431372549	0.19765166340508805	0.4024883272045724
400.0	90.0	412.0	103684.0	0.8254901960784313	0.19569471624266144	0.401925452892284
108.0	411.0	91.0	102400.0	0.19607843137254902	0.8238747553816047	0.401925452892284
381.0	401.0	132.0	72361.0	0.21568627450980393	0.7436399217221135	0.4004908541939564
229.0	402.0	129.0	74529.0	0.21372549019607842	0.7495107632093934	0.40023687395611673
127.0	132.0	402.0	72900.0	0.7431372549019608	0.21526418786692758	0.3999635454014885
392.0	91.0	413.0	103684.0	0.8235294117647058	0.19373776908023482	0.39943554049089347
92.0	412.0	92.0	102400.0	0.19411764705882353	0.821917808219178	0.39943554049089347
279.0	131.0	403.0	73984.0	0.7450980392156863	0.21330724070450097	0.3986662850046792
116.0	413.0	90.0	104329.0	0.19215686274509805	0.8258317025440313	0.3983581668753687
205.0	403.0	130.0	74529.0	0.21176470588235294	0.7475538160469667	0.3978762546149449
295.0	130.0	404.0	75076.0	0.7470588235294118	0.21135029354207435	0.3973551329052362
416.0	92.0	414.0	103684.0	0.8215686274509804	0.1917808219178082	0.39693967631673527
303.0	129.0	405.0	76176.0	0.7490196078431373	0.20939334637964774	0.3960299511277473
213.0	404.0	131.0	74529.0	0.20980392156862746	0.7455968688845401	0.39551124762927575
387.0	409.0	122.0	82369.0	0.2	0.7632093933463796	0.3906940985851667
121.0	122.0	410.0	82944.0	0.7627450980392156	0.19960861056751467	0.3901928872196296
389.0	414.0	111.0	91809.0	0.19019607843137254	0.7847358121330724	0.386333630522077
119.0	111.0	415.0	92416.0	0.7843137254901961	0.1898238747553816	0.38585161707109344
63.0	418.0	106.0	97344.0	0.18235294117647058	0.7945205479452054	0.38063520428745057
276.0	425.0	74.0	123201.0	0.16862745098039217	0.8571428571428571	0.3801812924461834
445.0	106.0	419.0	97969.0	0.7941176470588235	0.18199608610567514	0.3801661527176686
91.0	419.0	103.0	99856.0	0.1803921568627451	0.8003913894324853	0.3799793798011879
232.0	75.0	426.0	123201.0	0.8549019607843137	0.16829745596868884	0.3793123054985743
401.0	105.0	420.0	99225.0	0.796078431372549	0.18003913894324852	0.3785832475369264
240.0	74.0	427.0	124609.0	0.8568627450980392	0.16634050880626222	0.3775327601635895
268.0	426.0	76.0	122500.0	0.16666666666666666	0.8532289628180039	0.37710055308409984
393.0	104.0	421.0	100489.0	0.7980392156862746	0.1780821917808219	0.37698351775171796
107.0	420.0	105.0	99225.0	0.1784313725490196	0.7964774951076321	0.37698351775171796
254.0	319.0	320.0	1.0	0.3764705882352941	0.37573385518590996	0.3761020413155908
417.0	103.0	422.0	101761.0	0.8	0.1761252446183953	0.37536674825391264
115.0	421.0	104.0	100489.0	0.17647058823529413	0.7984344422700587	0.37536674825391264
292.0	427.0	75.0	123904.0	0.16470588235294117	0.8551859099804305	0.3753054088061212
216.0	76.0	428.0	123904.0	0.8529411764705882	0.1643835616438356	0.37444560147091943
468.0	432.0	72.0	129600.0	0.15490196078431373	0.8610567514677103	0.36521141705718874
48.0	73.0	433.0	129600.0	0.8588235294117647	0.15459882583170254	0.3643804457482557
40.0	72.0	434.0	131044.0	0.8607843137254902	0.15264187866927592	0.36247997844860647
484.0	433.0	73.0	129600.0	0.15294117647058825	0.8590998043052838	0.36247997844860647
