,pair,Pred
1001,2381-3737,1
1002,2381-3856,1
1003,2381-4181,1
1004,2381-4556,1
1005,2381-4775,1
1006,2381-4826,1
1007,2381-4927,1
1008,2381-5769,1
1009,2381-6079,1
1010,2381-6128,1
1011,2381-6327,1
1012,2381-6507,1
1013,2381-6614,1
1014,2381-7155,1
1015,2381-7342,1
1016,2381-7795,1
1017,2381-8220,1
1018,2381-8360,1
1019,2381-9505,1
1020,2381-10310,1
1021,2381-10423,1
1022,2381-11114,0
1023,2381-11142,1
1024,2381-11164,1
1025,2381-11232,1
1026,2381-11377,1
1027,2381-11550,1
1028,2381-11708,1
1029,2381-11796,1
1030,2381-12083,1
1031,2381-12129,1
1032,2381-12189,1
1033,2381-12200,1
1034,2381-12243,1
1035,2381-13335,1
1036,2381-13414,1
1037,2381-13536,1
1038,2381-13768,1
1039,2381-14340,1
1040,2381-14361,1
1041,2381-14413,1
1042,2381-14537,1
1043,2381-14609,1
1044,2381-14907,1
1045,2381-15133,1
1046,2381-15169,1
1047,2381-15695,1
1048,2381-16276,1
1049,2381-16509,1
1050,2381-16552,1
1051,2381-16591,1
1052,2381-17054,1
1053,2381-17306,1
1054,2381-19108,1
1055,2381-19151,1
1056,2381-19551,1
1057,2381-19653,1
1058,2381-19754,1
1059,2381-19834,1
1060,2381-19930,1
1061,2381-20021,1
1062,2381-20115,1
1063,2381-20278,1
1064,2381-20473,1
1065,2381-20940,1
1066,2381-21859,1
1067,2381-21949,1
1068,2381-22616,1
1069,2381-22697,1
1070,2381-22822,1
1071,2381-22995,1
1072,2381-23367,1
1073,2381-23393,1
1074,2381-23404,1
1075,2381-23473,1
1076,2381-26554,1
1077,2381-26838,1
1078,2381-27630,1
1079,2381-29791,1
1080,2381-29838,0
1081,2381-30081,1
1082,2381-30517,1
1083,2381-32035,1
1084,2381-32181,1
1085,2381-32244,1
1086,2381-32425,1
1087,2381-32590,1
1088,2381-32748,1
1089,2381-32787,1
1090,2381-32934,1
1091,2381-33071,1
1092,2381-33353,1
1093,2381-33438,1
1094,2381-33483,1
1095,2381-33616,1
1096,2381-36086,1
1097,2381-36351,1
1098,2381-36692,1
1099,2381-39386,1
1100,2381-40627,1
1101,2381-40676,1
1102,2381-40788,1
1103,2381-43531,1
1104,2381-44444,1
1105,2381-46261,1
1106,2381-46489,1
1107,2381-49544,1
1108,2381-53264,1
1109,2381-53597,1
1110,2381-53828,1
1111,2381-54113,1
1112,2381-54825,1
1113,2381-54994,1
1114,2381-55219,1
1115,2381-55256,1
1116,2381-57976,1
1117,2381-62642,1
1118,2381-62856,1
1119,2381-62887,1
1120,2381-62955,1
1121,2381-63242,1
1122,2381-63311,1
1123,2381-63399,1
1124,2381-63440,1
1125,2381-64208,1
1126,2381-199524,1
1127,2381-262287,1
1128,2381-393853,1
1129,2381-394968,1
1130,2497-2516,1
1131,2497-2603,1
1132,2497-2647,1
1133,2497-2828,1
1134,2497-2906,1
1135,2497-3292,1
1136,2497-3300,1
1137,2497-3320,1
1138,2497-3462,1
1139,2497-3491,1
1140,2497-3856,1
1141,2497-4134,1
1142,2497-4181,1
1143,2497-4637,1
1144,2497-4766,1
1145,2497-4775,1
1146,2497-4788,1
1147,2497-4826,1
1148,2497-4837,1
1149,2497-4862,1
1150,2497-6079,1
1151,2497-6327,1
1152,2497-6453,1
1153,2497-6461,1
1154,2497-6774,1
1155,2497-6830,1
1156,2497-6939,1
1157,2497-7342,1
1158,2497-8075,1
1159,2497-8220,1
1160,2497-8359,1
1161,2497-8966,1
1162,2497-9002,1
1163,2497-9304,1
1164,2497-9318,1
1165,2497-9498,1
1166,2497-9505,1
1167,2497-9680,1
1168,2497-10310,1
1169,2497-11164,1
1170,2497-13030,1
1171,2497-13335,1
1172,2497-13414,1
1173,2497-13445,1
1174,2497-13768,1
1175,2497-14340,1
1176,2497-14361,1
1177,2497-15133,1
1178,2497-15169,1
1179,2497-15412,1
1180,2497-16276,1
1181,2497-16509,1
1182,2497-17676,1
1183,2497-18106,1
1184,2497-19151,1
1185,2497-20940,1
1186,2497-22822,1
1187,2497-24047,1
1188,2497-25152,1
1189,2497-32787,1
1190,2497-32934,1
1191,2497-41095,1
1192,2497-46489,1
1193,2497-54113,1
1194,2497-55195,1
1195,2497-58453,1
1196,2497-262589,1
1197,2497-394354,1
1198,2516-2828,1
1199,2516-2906,1
1200,2516-2914,1
1201,2516-3292,1
1202,2516-3320,1
1203,2516-3462,1
1204,2516-3491,1
1205,2516-4134,1
1206,2516-4230,1
1207,2516-4637,1
1208,2516-4766,1
1209,2516-4788,1
1210,2516-4837,1
1211,2516-5650,1
1212,2516-6079,1
1213,2516-6327,1
1214,2516-6453,1
1215,2516-6461,1
1216,2516-6507,1
1217,2516-6762,1
1218,2516-6830,1
1219,2516-6939,1
1220,2516-7843,1
1221,2516-7922,1
1222,2516-8002,1
1223,2516-8075,1
1224,2516-8220,1
1225,2516-8966,1
1226,2516-9318,1
1227,2516-9505,1
1228,2516-9680,1
1229,2516-10310,1
1230,2516-11403,1
1231,2516-11404,1
1232,2516-12654,1
1233,2516-12956,1
1234,2516-13030,1
1235,2516-13335,1
1236,2516-13414,1
1237,2516-13768,1
1238,2516-14340,1
1239,2516-14361,1
1240,2516-14492,1
1241,2516-14589,1
1242,2516-15133,1
1243,2516-15169,1
1244,2516-15412,1
1245,2516-16265,1
1246,2516-16276,1
1247,2516-16509,1
1248,2516-17676,1
1249,2516-19151,1
1250,2516-19679,1
1251,2516-21859,1
1252,2516-22822,1
1253,2516-23393,1
1254,2516-25152,1
1255,2516-27257,1
1256,2516-29791,1
1257,2516-30081,1
1258,2516-32354,1
1259,2516-32934,1
1260,2516-33011,0
1261,2516-33438,1
1262,2516-33597,1
1263,2516-36351,1
1264,2516-41095,1
1265,2516-46375,1
1266,2516-46489,1
1267,2516-46562,1
1268,2516-49544,1
1269,2516-54113,1
1270,2516-57976,1
1271,2516-58453,1
1272,2516-60068,1
1273,2516-199524,1
1274,2516-396986,1
1275,2559-4809,1
1276,2559-8220,1
1277,2559-14061,1
1278,2559-36351,1
1279,2603-2874,0
1280,2603-2906,1
1281,2603-3223,1
1282,2603-3292,1
1283,2603-3301,1
1284,2603-3333,1
1285,2603-3491,1
1286,2603-4004,1
1287,2603-4134,1
1288,2603-4181,1
1289,2603-4230,1
1290,2603-4258,1
1291,2603-4637,1
1292,2603-4826,1
1293,2603-4862,1
1294,2603-5583,1
1295,2603-5650,1
1296,2603-6079,1
1297,2603-6327,1
1298,2603-6461,1
1299,2603-6762,1
1300,2603-6830,0
1301,2603-7029,1
1302,2603-7342,1
1303,2603-7795,1
1304,2603-8075,1
1305,2603-8220,1
1306,2603-8359,1
1307,2603-8966,1
1308,2603-9002,1
1309,2603-9009,1
1310,2603-9304,1
1311,2603-9498,1
1312,2603-9505,1
1313,2603-9680,1
